Start Time,End Time,Precipitation,Wind Speed,Wind Direction,Location
2024-02-03 15:00:00,2024-02-03 22:00:00,0.1,22.0,270.0,Potsdam
2024-02-03 19:00:00,2024-02-03 20:00:00,0.5,20.4,278.0,Berlin
2024-02-04 20:00:00,2024-02-05 10:00:00,0.1,41.0,260.0,Potsdam
2024-02-04 21:00:00,2024-02-05 10:00:00,0.2,29.6,274.0,Berlin
2024-02-06 22:00:00,2024-02-06 22:00:00,0.1,38.5,240.0,Potsdam
2024-02-06 22:00:00,2024-02-07 06:00:00,0.7,20.4,281.0,Berlin
2024-02-07 00:00:00,2024-02-07 06:00:00,1.1,25.6,260.0,Potsdam
2024-02-07 10:00:00,2024-02-07 10:00:00,0.7,27.7,270.0,Potsdam
2024-02-08 19:00:00,2024-02-09 11:00:00,0.2,18.0,100.0,Potsdam
2024-02-08 19:00:00,2024-02-09 11:00:00,0.5,14.8,108.0,Berlin
2024-02-09 20:00:00,2024-02-09 20:00:00,0.1,11.1,156.0,Berlin
2024-02-09 20:00:00,2024-02-09 20:00:00,0.1,16.6,190.0,Potsdam
2024-02-10 04:00:00,2024-02-10 08:00:00,0.1,13.0,170.0,Potsdam
2024-02-10 05:00:00,2024-02-10 08:00:00,0.1,9.3,137.0,Berlin
2024-02-11 13:00:00,2024-02-12 07:00:00,0.1,16.7,273.0,Berlin
2024-02-11 13:00:00,2024-02-12 07:00:00,0.1,20.2,260.0,Potsdam
2024-02-12 09:00:00,2024-02-12 09:00:00,0.1,16.7,277.0,Berlin
2024-02-12 10:00:00,2024-02-12 10:00:00,0.1,18.0,270.0,Potsdam
2024-02-12 11:00:00,2024-02-12 11:00:00,0.1,18.5,281.0,Berlin
2024-02-12 14:00:00,2024-02-12 14:00:00,0.5,18.5,282.0,Berlin
2024-02-12 16:00:00,2024-02-12 16:00:00,0.1,22.3,280.0,Potsdam
2024-02-12 17:00:00,2024-02-12 17:00:00,0.1,14.8,278.0,Berlin
2024-02-14 09:00:00,2024-02-14 14:00:00,0.1,19.1,230.0,Potsdam
2024-02-14 10:00:00,2024-02-14 13:00:00,0.7,14.8,210.0,Berlin
2024-02-14 17:00:00,2024-02-14 17:00:00,0.2,13.0,220.0,Berlin
2024-02-14 21:00:00,2024-02-14 23:00:00,0.6,16.2,210.0,Potsdam
